Barcode     Status               ISBN
100120      AVAILABLE            0000942715049
100121      FORBIDDEN            0036094244535
100122      BROKEN               0083852530433
100123      AVAILABLE            0006809490126
100124      LEND                 0027742387
100125      SOLD                 0067003657878
100126      DELETED              0093668933512
100127      FORBIDDEN            0100612212870
100128      SOLD                 0038516141
100129      SOLD                 0106396752861
100130      BROKEN               0027398624055
100131      SOLD                 0050767537643
100132      AVAILABLE            0052751692
100133      BROKEN               0006431554912
100134      DELETED              0110605992
100135      BROKEN               0049259833
100136      FORBIDDEN            0083513452
100137      DELETED              0059258854
100138      DELETED              0011184357261
100139      DELETED              0071680623922
100140      LEND                 0040768525
100141      FORBIDDEN            0091969069
100142      SOLD                 0013961435
100143      DELETED              0099681213
100144      FORBIDDEN            0059388650
100145      FORBIDDEN            0081778847
100146      BROKEN               0065097062
100147      BROKEN               0109355489
100148      AVAILABLE            0017736874
100149      AVAILABLE            0019015498
100150      LEND                 0108519066
100151      BROKEN               0025176533869
100152      AVAILABLE            0096437264148
100153      LEND                 0055978540242
100154      BROKEN               0006995557456
100155      DELETED              0026087032995
100156      LEND                 0083113754176
100157      SOLD                 0112841478
100158      LEND                 0062202557
100159      BROKEN               0051429591854
100160      DELETED              0094204848717
100161      AVAILABLE            0008340414
100162      SOLD                 0051199981339
100163      LEND                 0015862218
100164      DELETED              0078513983243
100165      AVAILABLE            0101182697
100166      BROKEN               0056596562
100167      FORBIDDEN            0054073567033
100168      BROKEN               0063783283413
100169      LEND                 0096240588
100170      AVAILABLE            0030464510155
100171      FORBIDDEN            0007016128570
100172      LEND                 0045706834
100173      LEND                 0047252176
100174      SOLD                 0022451307
100175      AVAILABLE            0007343207
100176      AVAILABLE            0023761061345
100177      AVAILABLE            0015231612184
100178      LEND                 0044108588838
100179      DELETED              0044488013426
100180      LEND                 0001915347
100181      SOLD                 0038615108
100182      FORBIDDEN            0098688720
100183      SOLD                 0020750139972
100184      DELETED              0090621977
100185      FORBIDDEN            0002914101273
100186      BROKEN               0050958734
100187      FORBIDDEN            0093773610363
100188      AVAILABLE            0095892485
100189      AVAILABLE            0001823315326
100190      LEND                 0062697117518
100191      AVAILABLE            0027293526
100192      LEND                 0094100004984
100193      FORBIDDEN            0057257901132
100194      FORBIDDEN            0074633681
100195      AVAILABLE            0033204725985
100196      LEND                 0042111505372
100197      BROKEN               0094714810742
100198      AVAILABLE            0087468023
100199      SOLD                 0094510559
100200      LEND                 0025616273
100201      BROKEN               0013976593
100202      AVAILABLE            0088905296
100203      SOLD                 0018280065
100204      FORBIDDEN            0087327479203
100205      DELETED              0053684698582
100206      DELETED              0075733691483
100207      SOLD                 0051255974499
100208      DELETED              0035426699615
100209      DELETED              0099025731
100210      LEND                 0003399207
100211      AVAILABLE            0065676720
100212      BROKEN               0013081313661
100213      SOLD                 0102746255
100214      LEND                 0111310772979
100215      SOLD                 0056925527
100216      LEND                 0025981733
100217      AVAILABLE            0031498136
100218      SOLD                 0024620241508
100219      DELETED              0075711267256
100220      DELETED              0013987431355
100221      SOLD                 0059212860
100222      FORBIDDEN            0055229447752
100223      DELETED              0062806259
100224      AVAILABLE            0034605623593
100225      AVAILABLE            0002680766
100226      SOLD                 0010705187568
100227      LEND                 0086659915
100228      DELETED              0067282565552
100229      SOLD                 0087786053
100230      FORBIDDEN            0062633569
100231      DELETED              0117551921
100232      AVAILABLE            0026179900
100233      DELETED              0046677465
100234      LEND                 0020035230817
100235      SOLD                 0087534588061
100236      BROKEN               0047916922163
100237      AVAILABLE            0061684734979
100238      SOLD                 0032773572
100239      AVAILABLE            0036764056
100240      BROKEN               0024707736
100241      FORBIDDEN            0098334913
100242      DELETED              0058687420590
100243      SOLD                 0000517922581
100244      SOLD                 0095107007638
100245      LEND                 0093754056872
100246      DELETED              0015986918190
100247      DELETED              0116666624498
100248      BROKEN               0010135314
100249      LEND                 0019573675188
100250      SOLD                 0109712079796
100251      LEND                 0011901001302
100252      FORBIDDEN            0069886203
100253      BROKEN               0010909204
100254      DELETED              0082655547
100255      DELETED              0114122719889
100256      SOLD                 0056180356494
100257      BROKEN               0024513016348
100258      SOLD                 0082592963392
100259      FORBIDDEN            0084817867
100260      BROKEN               0044269642747
100261      AVAILABLE            0101804562
100262      DELETED              0077400237245
100263      SOLD                 0045183477613
100264      DELETED              0034506994151
100265      SOLD                 0075015642
100266      FORBIDDEN            0042429441636
100267      LEND                 0062386837
100268      BROKEN               0104476005811
100269      BROKEN               0058646770017
100270      AVAILABLE            0009894585
100271      LEND                 0060464159286
100272      LEND                 0095661139
100273      BROKEN               0086449739
100274      FORBIDDEN            0053246297
100275      BROKEN               0014251100
100276      DELETED              0122001035613
100277      AVAILABLE            0055100576
100278      SOLD                 0114521533062
100279      SOLD                 0037646112623
100280      BROKEN               0085297007784
100281      LEND                 0105653173614
100282      BROKEN               0075870420356
100283      AVAILABLE            0051538999
100284      FORBIDDEN            0081515426476
100285      SOLD                 0053393267872
100286      BROKEN               0110511320316
100287      BROKEN               0016535101
100288      FORBIDDEN            0061357911785
100289      SOLD                 0054213580
100290      FORBIDDEN            0098604236
100291      AVAILABLE            0025120733
100292      LEND                 0077086533028
100293      SOLD                 0124051405
100294      DELETED              0091314582889
100295      DELETED              0101837639911
100296      DELETED              0019962024421
100297      BROKEN               0115329956298
100298      LEND                 0063232458708
100299      FORBIDDEN            0020929817527
100300      LEND                 0052843066102
100301      LEND                 0115928940983
100302      SOLD                 0074749742017
100303      AVAILABLE            0047154512702
100304      LEND                 0123543952545
100305      BROKEN               0043447384767
100306      FORBIDDEN            0012711081849
100307      LEND                 0123931720
100308      BROKEN               0055652882
100309      SOLD                 0066704671
100310      AVAILABLE            0061944737639
100311      BROKEN               0001740808
100312      FORBIDDEN            0112078861
100313      FORBIDDEN            0102107905344
100314      DELETED              0116036244169
100315      DELETED              0013089606041
100316      DELETED              0012855882933
100317      LEND                 0027919756484
100318      FORBIDDEN            0107509645827
100319      SOLD                 0077028745320
100320      LEND                 0120737733
100321      DELETED              0113137840
100322      LEND                 0001682347390
100323      FORBIDDEN            0044101681
100324      BROKEN               0106391891
100325      AVAILABLE            0123545141808
100326      AVAILABLE            0080735265452
100327      DELETED              0052655082740
100328      LEND                 0093342872743
100329      BROKEN               0115479960
100330      AVAILABLE            0092915458
100331      SOLD                 0083881669769
100332      SOLD                 0103650798487
100333      SOLD                 0045752587
100334      BROKEN               0083364192
100335      LEND                 0035814216
100336      DELETED              0054069741985
100337      BROKEN               0030599213571
100338      FORBIDDEN            0042042113
100339      LEND                 0039065513
100340      SOLD                 0042205133864
100341      LEND                 0063260036621
100342      FORBIDDEN            0058039543
100343      LEND                 0091864321
100344      BROKEN               0090605194663
100345      LEND                 0030157917617
100346      LEND                 0064335514884
100347      LEND                 0034719399760
100348      DELETED              0131142377
100349      AVAILABLE            0130034500362
100350      FORBIDDEN            0114811634
100351      AVAILABLE            0090101085757
100352      SOLD                 0126313268076
100353      BROKEN               0098321585
100354      SOLD                 0093301025
100355      SOLD                 0026452108
100356      AVAILABLE            0118804545
100357      FORBIDDEN            0033365195
100358      DELETED              0019564086742
100359      AVAILABLE            0119128743
100360      BROKEN               0112008996
100361      BROKEN               0057327062820
100362      FORBIDDEN            0090058517642
100363      AVAILABLE            0109592190
100364      BROKEN               0073196255957
100365      LEND                 0076117659
100366      FORBIDDEN            0128418521
100367      AVAILABLE            0011101985255
100368      DELETED              0111429609
100369      AVAILABLE            0121023776
100370      FORBIDDEN            0056034891
100371      FORBIDDEN            0115459122716
100372      LEND                 0085162824475
100373      BROKEN               0024466956386
100374      FORBIDDEN            0037478276030
100375      FORBIDDEN            0057532306
100376      DELETED              0106438841981
100377      AVAILABLE            0008684307101
100378      LEND                 0052836204
100379      DELETED              0121631619
100380      FORBIDDEN            0016374224
100381      SOLD                 0047152853343
100382      AVAILABLE            0112998665895
100383      LEND                 0015584916976
100384      BROKEN               0095340595
100385      AVAILABLE            0003823527322
100386      AVAILABLE            0106699664
100387      LEND                 0003433121410
100388      AVAILABLE            0051499352
100389      FORBIDDEN            0056384148
100390      LEND                 0128487725125
100391      BROKEN               0023295214
100392      LEND                 0012457702
100393      SOLD                 0122363317082
100394      SOLD                 0074868194196
100395      LEND                 0081867387
100396      DELETED              0073026520536
100397      FORBIDDEN            0024501517595
100398      BROKEN               0017963249641
100399      DELETED              0013112473322
100400      DELETED              0018453773
100401      AVAILABLE            0056729417004
100402      FORBIDDEN            0105110056
100403      LEND                 0126366090992
100404      AVAILABLE            0023572925825
100405      AVAILABLE            0040721902
100406      SOLD                 0004635383
100407      AVAILABLE            0111298665
100408      BROKEN               0047258553
100409      FORBIDDEN            0131184414
100410      DELETED              0058554189763
100411      FORBIDDEN            0041861965120
100412      SOLD                 0101809296170
100413      AVAILABLE            0127762224012
100414      LEND                 0134244865
100415      SOLD                 0014025332021
100416      DELETED              0052051770
100417      SOLD                 0073172362
100418      DELETED              0037348459
100419      BROKEN               0068098015208
100420      LEND                 0044663314
100421      BROKEN               0009301488071
100422      AVAILABLE            0057099930
100423      BROKEN               0004175852742
100424      SOLD                 0074985416
100425      DELETED              0035068932
100426      SOLD                 0112000332131
100427      BROKEN               0067221661
100428      FORBIDDEN            0045412774
100429      SOLD                 0117945386
100430      BROKEN               0123894730
100431      BROKEN               0042357210955
100432      BROKEN               0105508602
100433      FORBIDDEN            0041415017567
100434      FORBIDDEN            0079043792
100435      SOLD                 0118983992
100436      SOLD                 0072675652314
100437      SOLD                 0024130703
100438      AVAILABLE            0091463158
100439      BROKEN               0057067600132
100440      LEND                 0118161073
100441      FORBIDDEN            0005838758147
100442      SOLD                 0053928140
100443      LEND                 0016466663
100444      DELETED              0093889075802
100445      DELETED              0043794326729
100446      SOLD                 0042623750
100447      AVAILABLE            0141765329858
100448      BROKEN               0006159454076
100449      FORBIDDEN            0128758820
100450      SOLD                 0030915280
100451      BROKEN               0125113916177
100452      DELETED              0085204178539
100453      FORBIDDEN            0044581354522
100454      AVAILABLE            0063425576643
100455      SOLD                 0010420876119
100456      AVAILABLE            0095831126322
100457      DELETED              0065340666
100458      DELETED              0005828578361
100459      SOLD                 0117911448
100460      LEND                 0066499794676
100461      LEND                 0127591052
100462      LEND                 0141626482065
100463      SOLD                 0092307693095
100464      DELETED              0051499582117
100465      SOLD                 0112154243055
100466      DELETED              0051032317
100467      FORBIDDEN            0038037286
100468      AVAILABLE            0134709671355
100469      BROKEN               0051741511
100470      AVAILABLE            0037951229
100471      BROKEN               0028973259
100472      BROKEN               0137188452260
100473      FORBIDDEN            0076228734216
100474      DELETED              0069060893
100475      LEND                 0041064843
100476      FORBIDDEN            0052852205618
100477      SOLD                 0042395861782
100478      AVAILABLE            0007533228558
100479      DELETED              0034165845
100480      BROKEN               0090892881538
100481      BROKEN               0074912743166
100482      AVAILABLE            0104563640
100483      FORBIDDEN            0130529067895
100484      FORBIDDEN            0024394029
100485      FORBIDDEN            0104209517507
100486      AVAILABLE            0125821845
100487      BROKEN               0115417115911
100488      SOLD                 0111753278
100489      LEND                 0068293238738
100490      BROKEN               0133722359501
100491      DELETED              0123057198658
100492      DELETED              0018738144
100493      DELETED              0004338140556
100494      LEND                 0087445473
100495      FORBIDDEN            0062712817
100496      SOLD                 0147188725922
100497      FORBIDDEN            0112429074384
100498      SOLD                 0061965091927
100499      BROKEN               0075282831824
100500      FORBIDDEN            0111898527
100501      FORBIDDEN            0004926434
100502      AVAILABLE            0100360350038
100503      FORBIDDEN            0128204390
100504      FORBIDDEN            0025826393
100505      AVAILABLE            0001838385
100506      AVAILABLE            0017028960379
100507      BROKEN               0146418181
100508      DELETED              0096561060295
100509      FORBIDDEN            0133639605
100510      FORBIDDEN            0097043404
100511      LEND                 0055968158585
100512      DELETED              0059369686815
100513      AVAILABLE            0067831202
100514      AVAILABLE            0093895878
100515      SOLD                 0091493595
100516      LEND                 0112076982785
100517      LEND                 0143678807
100518      SOLD                 0066806631012
100519      DELETED              0132254559
100520      BROKEN               0060715455968
100521      SOLD                 0006435431
100522      AVAILABLE            0148383818
100523      FORBIDDEN            0062854775383
100524      FORBIDDEN            0091880272
100525      SOLD                 0033043650
100526      LEND                 0011494420640
100527      AVAILABLE            0145474126835
100528      BROKEN               0097105327510
100529      BROKEN               0149941798
100530      DELETED              0017205921359
100531      AVAILABLE            0091702693251
100532      AVAILABLE            0075674642
100533      DELETED              0029439238
100534      BROKEN               0111772772
100535      BROKEN               0086073841
100536      DELETED              0115002494538
100537      AVAILABLE            0012492510713
100538      AVAILABLE            0055918873
100539      SOLD                 0104442320
100540      FORBIDDEN            0125899286
100541      BROKEN               0128313879039
100542      LEND                 0068643000
100543      FORBIDDEN            0135795478747
100544      LEND                 0126444511013
100545      DELETED              0002320593828
100546      FORBIDDEN            0123980951801
100547      DELETED              0132381741838
100548      DELETED              0151823745
100549      DELETED              0093697671629
100550      BROKEN               0094119634929
100551      BROKEN               0024706061466
100552      AVAILABLE            0151781927
100553      DELETED              0122216364
100554      FORBIDDEN            0113966714
100555      AVAILABLE            0125422471
100556      FORBIDDEN            0040892406455
100557      LEND                 0087595583
100558      AVAILABLE            0058141249078
100559      LEND                 0092087513103
100560      FORBIDDEN            0133038403
100561      FORBIDDEN            0037420256161
100562      FORBIDDEN            0151824464
100563      FORBIDDEN            0120680271
100564      DELETED              0107920487107
100565      FORBIDDEN            0097891083
100566      LEND                 0119842361
100567      AVAILABLE            0033091768069
100568      DELETED              0126775250808
100569      DELETED              0010577855
100570      DELETED              0107442808994
100571      LEND                 0150241418104
100572      LEND                 0125094379
100573      AVAILABLE            0114751137086
100574      BROKEN               0001477119754
100575      AVAILABLE            0014672948
100576      BROKEN               0146560041135
100577      LEND                 0016502876
100578      BROKEN               0048710417491
100579      BROKEN               0090416821
100580      SOLD                 0086448029
100581      FORBIDDEN            0151331764
100582      SOLD                 0101739141
100583      AVAILABLE            0092955400323
100584      FORBIDDEN            0011247219
100585      FORBIDDEN            0150661893
100586      FORBIDDEN            0152986566261
100587      BROKEN               0080483752426
100588      DELETED              0125586914
100589      DELETED              0052177946
100590      SOLD                 0097879779
100591      LEND                 0124660497
100592      FORBIDDEN            0113636482
100593      FORBIDDEN            0060866864
100594      FORBIDDEN            0119399627
100595      AVAILABLE            0029706530
100596      SOLD                 0154623634245
100597      LEND                 0007486338
100598      BROKEN               0110497675482
100599      DELETED              0130698282648
100600      AVAILABLE            0148199362
100601      FORBIDDEN            0105387363895
100602      FORBIDDEN            0015574290
100603      FORBIDDEN            0095031104
100604      AVAILABLE            0026213639
100605      DELETED              0152456318
100606      DELETED              0096589774
100607      AVAILABLE            0042333057190
100608      FORBIDDEN            0108557770
100609      FORBIDDEN            0001672705948
100610      BROKEN               0125555583777
100611      BROKEN               0119765424
100612      SOLD                 0040487749468
100613      BROKEN               0065450441452
100614      DELETED              0135899394827
100615      FORBIDDEN            0026286410684
100616      AVAILABLE            0063087229235
100617      SOLD                 0107527050
100618      FORBIDDEN            0148855156
100619      DELETED              0154185325493
100620      FORBIDDEN            0120244386124
100621      BROKEN               0153563451
100622      BROKEN               0144740666
100623      AVAILABLE            0075908133199
100624      BROKEN               0060729758910
100625      LEND                 0035504025
100626      LEND                 0143855645
100627      LEND                 0076881052
100628      AVAILABLE            0112109080
100629      DELETED              0067294331
100630      DELETED              0081388905
100631      LEND                 0025978560966
100632      SOLD                 0128307619
100633      AVAILABLE            0093788955
100634      DELETED              0064148822
100635      SOLD                 0072067223958
100636      AVAILABLE            0108968474
100637      SOLD                 0070529939942
100638      FORBIDDEN            0064464823
100639      BROKEN               0151198299198
100640      BROKEN               0011438496
100641      FORBIDDEN            0057828830
100642      SOLD                 0085576555
100643      DELETED              0157025272822
100644      FORBIDDEN            0110468323
100645      AVAILABLE            0136560725
100646      DELETED              0092779824703
100647      DELETED              0103170248719
100648      DELETED              0152653590332
100649      AVAILABLE            0004488334
100650      FORBIDDEN            0061483056619
100651      FORBIDDEN            0154341645637
100652      DELETED              0156112065693
100653      AVAILABLE            0152682430
100654      DELETED              0090966166573
100655      DELETED              0026744443546
100656      DELETED              0092406379327
100657      FORBIDDEN            0036263107
100658      LEND                 0035398792139
100659      FORBIDDEN            0155455216
100660      AVAILABLE            0035394408662
100661      AVAILABLE            0002420830
100662      AVAILABLE            0112451214
100663      DELETED              0123730532
100664      BROKEN               0147926997
100665      LEND                 0027356154536
100666      FORBIDDEN            0106031170293
100667      BROKEN               0042799827
100668      AVAILABLE            0116175181420
100669      SOLD                 0032480922
100670      SOLD                 0147060025970
100671      DELETED              0142662134
100672      FORBIDDEN            0158332684
100673      DELETED              0113394399
100674      FORBIDDEN            0006789588
100675      AVAILABLE            0128893664
100676      FORBIDDEN            0010308513
100677      AVAILABLE            0151294870
100678      AVAILABLE            0132677291593
100679      BROKEN               0040799569
100680      SOLD                 0141623376391
100681      FORBIDDEN            0109381207
100682      FORBIDDEN            0023749123137
100683      FORBIDDEN            0013898241121
100684      BROKEN               0007694532358
100685      BROKEN               0103215116698
100686      FORBIDDEN            0070074145700
100687      BROKEN               0054380486742
100688      BROKEN               0148839475
100689      FORBIDDEN            0040717744146
100690      DELETED              0077688621913
100691      LEND                 0013511720
100692      DELETED              0144836461286
100693      AVAILABLE            0074536502
100694      DELETED              0160855546613
100695      BROKEN               0140659164
100696      SOLD                 0141098227850
100697      DELETED              0060857164
100698      FORBIDDEN            0092423553
100699      SOLD                 0067224840
100700      LEND                 0140504385940
100701      FORBIDDEN            0144798674
100702      LEND                 0106234074
100703      SOLD                 0126850322
100704      LEND                 0159084544
100705      BROKEN               0067314774
100706      FORBIDDEN            0126661728
100707      FORBIDDEN            0064971969080
100708      LEND                 0136817862
100709      DELETED              0089215316
100710      BROKEN               0163685775239
100711      LEND                 0087321159960
100712      SOLD                 0055669942012
100713      SOLD                 0093273438
100714      LEND                 0050480954
100715      LEND                 0013379162
100716      AVAILABLE            0076328732090
100717      AVAILABLE            0118323060
100718      SOLD                 0016801144780
100719      AVAILABLE            0153038552729
100720      LEND                 0053829597
100721      LEND                 0090667806
100722      FORBIDDEN            0156705969
100723      AVAILABLE            0059600286
100724      LEND                 0167821524696
100725      BROKEN               0062580808181
100726      FORBIDDEN            0164828891654
100727      FORBIDDEN            0166988319
100728      AVAILABLE            0047745067009
100729      LEND                 0094738027811
100730      LEND                 0063566033177
100731      BROKEN               0141409281703
100732      LEND                 0136774749368
100733      DELETED              0125274373
100734      DELETED              0125104207835
100735      SOLD                 0088909242
100736      BROKEN               0041934294
100737      LEND                 0157355769419
100738      SOLD                 0084910495
100739      AVAILABLE            0162796821
100740      BROKEN               0018667381
100741      AVAILABLE            0005294707
100742      DELETED              0158739738
100743      LEND                 0014597359276
100744      DELETED              0132814704
100745      LEND                 0155902127
100746      BROKEN               0055329567259
100747      SOLD                 0043064147083
100748      SOLD                 0168558502
100749      AVAILABLE            0165933207
100750      DELETED              0029563861
100751      SOLD                 0165928082814
100752      BROKEN               0045283708183
100753      FORBIDDEN            0048886809529
100754      DELETED              0016704685214
100755      FORBIDDEN            0082887112
100756      FORBIDDEN            0129241189
100757      LEND                 0140076786901
100758      DELETED              0071074923
100759      SOLD                 0109529636851
100760      BROKEN               0017742263355
100761      AVAILABLE            0152134164
100762      FORBIDDEN            0020068563
100763      FORBIDDEN            0169179499
100764      AVAILABLE            0141718194649
100765      AVAILABLE            0105384904470
100766      AVAILABLE            0074166337159
100767      LEND                 0120819460
100768      DELETED              0114583936917
100769      DELETED              0058209884
100770      SOLD                 0067224614
100771      FORBIDDEN            0078349632379
100772      DELETED              0025890573603
100773      BROKEN               0077357803008
100774      BROKEN               0026285776713
100775      LEND                 0133321467
100776      FORBIDDEN            0144619531
100777      BROKEN               0024737750582
100778      BROKEN               0138943610
100779      AVAILABLE            0057169520
100780      FORBIDDEN            0009498769
100781      LEND                 0011168262074
100782      AVAILABLE            0170051306650
100783      FORBIDDEN            0025871570
100784      SOLD                 0161514602
100785      DELETED              0097139156398
100786      FORBIDDEN            0125640797
100787      DELETED              0060195712
100788      AVAILABLE            0151987342
100789      DELETED              0166615628236
100790      FORBIDDEN            0164569570
100791      LEND                 0023116027
100792      SOLD                 0137694874426
100793      FORBIDDEN            0153332456
100794      BROKEN               0105547618474
100795      DELETED              0040549410
100796      AVAILABLE            0083966829
100797      DELETED              0022220493
100798      AVAILABLE            0123986377
100799      DELETED              0049769259
100800      LEND                 0016372011970
100801      LEND                 0175135906259
100802      LEND                 0120177755
100803      DELETED              0063364570
100804      DELETED              0051765174940
100805      BROKEN               0104544581
100806      DELETED              0150646870
100807      AVAILABLE            0063172208153
100808      DELETED              0138795188
100809      LEND                 0063553863501
100810      FORBIDDEN            0033127451
100811      DELETED              0120628526
100812      BROKEN               0170169787
100813      DELETED              0135978104821
100814      SOLD                 0156744003958
100815      DELETED              0007227258984
100816      AVAILABLE            0110167177254
100817      FORBIDDEN            0106303906
100818      AVAILABLE            0050342672267
100819      BROKEN               0076360561342
100820      AVAILABLE            0067987250398
100821      BROKEN               0155018984589
100822      LEND                 0053924512063
100823      FORBIDDEN            0174378280044
100824      BROKEN               0081321186283
100825      DELETED              0139439467065
100826      LEND                 0056105528
100827      DELETED              0164200246325
100828      AVAILABLE            0160010343
100829      AVAILABLE            0085533906
100830      AVAILABLE            0104396214671
100831      DELETED              0131341726
100832      BROKEN               0034375694345
100833      LEND                 0169047464
100834      SOLD                 0042445015
100835      BROKEN               0000061319726
100836      FORBIDDEN            0094180895
100837      SOLD                 0141442094
100838      BROKEN               0070701524
100839      LEND                 0020500121
100840      AVAILABLE            0105557802
100841      FORBIDDEN            0156134841694
100842      FORBIDDEN            0039559973593
100843      FORBIDDEN            0174155125
100844      DELETED              0152778846
100845      DELETED              0171590494
100846      SOLD                 0042623945
100847      LEND                 0176744974156
100848      AVAILABLE            0168580432173
100849      AVAILABLE            0134201863122
100850      LEND                 0012400533
100851      AVAILABLE            0090706530
100852      DELETED              0067438798
100853      DELETED              0012231933
100854      LEND                 0075259215170
100855      BROKEN               0165296025
100856      AVAILABLE            0053209006052
100857      LEND                 0134447364427
100858      SOLD                 0181002117
100859      FORBIDDEN            0003863500264
100860      LEND                 0154154691
100861      FORBIDDEN            0133176769079
100862      FORBIDDEN            0171968376
100863      LEND                 0134068951949
100864      AVAILABLE            0120542122384
100865      BROKEN               0115440499
100866      FORBIDDEN            0182364675828
100867      LEND                 0087595480
100868      SOLD                 0152789031731
100869      AVAILABLE            0177881255
100870      BROKEN               0104873450
100871      DELETED              0142549464302
100872      DELETED              0181279860
100873      FORBIDDEN            0030447000247
100874      DELETED              0164521030937
100875      LEND                 0037474866071
100876      SOLD                 0141703136000
100877      LEND                 0028702191
100878      DELETED              0001686634061
100879      AVAILABLE            0107609741
100880      BROKEN               0141881651
100881      AVAILABLE            0179706072
100882      LEND                 0030564265
100883      AVAILABLE            0048355059430
100884      SOLD                 0072758918014
100885      FORBIDDEN            0138695495
100886      AVAILABLE            0057398606
100887      AVAILABLE            0161865476520
100888      FORBIDDEN            0173063451349
100889      LEND                 0041508547
100890      BROKEN               0172886975870
100891      BROKEN               0033853345
100892      FORBIDDEN            0180906784232
100893      BROKEN               0144048173
100894      AVAILABLE            0145387894
100895      LEND                 0099846533
100896      FORBIDDEN            0152453401
100897      SOLD                 0099085332
100898      SOLD                 0156795942257
100899      FORBIDDEN            0185041540
100900      BROKEN               0182709196923
100901      DELETED              0053650848
100902      DELETED              0036100070715
100903      AVAILABLE            0173491923543
100904      BROKEN               0182921600873
100905      FORBIDDEN            0152703778
100906      BROKEN               0155542740
100907      DELETED              0184910807714
100908      FORBIDDEN            0076916496
100909      FORBIDDEN            0146110934391
100910      FORBIDDEN            0130202696
100911      SOLD                 0025045997607
100912      FORBIDDEN            0125317243
100913      SOLD                 0182482137613
100914      DELETED              0095326509
100915      LEND                 0042417162
100916      BROKEN               0062215005
100917      FORBIDDEN            0054448634
100918      DELETED              0139628479
100919      LEND                 0172700325
100920      BROKEN               0042543934653
100921      SOLD                 0156547237038
100922      DELETED              0173542538
100923      BROKEN               0031983277
100924      BROKEN               0107360736575
100925      FORBIDDEN            0096645214
100926      BROKEN               0183642563
